review_id	product_title	review_headline	review_body
1A	10a	himself Oie . idk la_ e	abstract text
2B	20b	pos idk palavra maDuREiRa about idk . com	1 idk palavra
3C	30c	diOgo diogo aZeVeDO idk	palavra ola ola DIOGO ola
4D	40d	rIcarDo maDuREiRa. idk	ricardo programer program diogo
5F	10f	Oie . idk la_ e	abstract text 1
6G	20g	pos idk idk . com	1 idk programing
7H	30h	diOgo aZeVeDO idk	teste program
8I	40i	rIcarDo maDuREiRa. idk	nada
9J	30j	aZeVeDO ricardo ricardo idk	nenhum
10K	40k	rIcarDo maDuREiRa	oi
